Date,Description
2010-12-12 11:07:00,"['C3099', 'C3059', 'C969', 'C3059', 'C646', 'C1089', 'C1529', 'C646', 'C447', 'C2347', 'C655', 'C2363', 'C579', 'C3197', 'C2753', 'C1063', 'C1779', 'C1974', 'C3703', 'C1439', 'C2093', 'C2093', 'C1420', 'C1420', 'C1420', 'C287']"
2010-12-12 11:17:00,"['C2761', 'C630', 'C226', 'C1035', 'C3520', 'C118', 'C2300', 'C1772', 'C3039', 'C2337', 'C295', 'C1699', 'C3753', 'C884', 'C1555', 'C3376', 'C202', 'C345', 'C3273', 'C1638', 'C148', 'C2162', 'C303', 'C2757', 'C1011', 'C1084', 'C288', 'C1874', 'C3030', 'C1382', 'C3689', 'C2922', 'C12', 'C2191', 'C2522', 'C12', 'C1894', 'C3640', 'C185', 'C2864', 'C2215', 'C1440', 'C2985', 'C2917', 'C330', 'C3416', 'C3032', 'C1987', 'C370', 'C2009', 'C2990']"
2010-12-12 11:26:00,"['C45', 'C585', 'C2557', 'C2686', 'C1334', 'C2988', 'C3491', 'C3358', 'C2699', 'C1884', 'C2004', 'C1884', 'C1181', 'C2004', 'C400', 'C1980', 'C1987', 'C1275', 'C228', 'C1293', 'C958', 'C2724', 'C3064', 'C2900', 'C41', 'C2914', 'C2217', 'C3032', 'C2357', 'C2541', 'C3053', 'C1941', 'C3053', 'C1295', 'C2403', 'C2541', 'C3456', 'C721']"
2010-12-12 11:26:00,"['C2009', 'C3562', 'C1589', 'C1873', 'C1509', 'C3295', 'C2351', 'C1941', 'C2990', 'C390', 'C3562', 'C885', 'C1256', 'C1483', 'C477', 'C2322', 'C2244', 'C265', 'C2395', 'C2020', 'C3579', 'C115', 'C2167', 'C1105', 'C3461', 'C3461', 'C1105', 'C3579', 'C2167', 'C2020', 'C115', 'C3032', 'C1198', 'C559', 'C2990', 'C1328', 'C2009', 'C3078', 'C3313', 'C3562', 'C2310', 'C3376', 'C1481', 'C3333', 'C2475', 'C2725', 'C1653', 'C3807', 'C2325', 'C1894', 'C903', 'C2300', 'C2398', 'C3496', 'C904', 'C3376', 'C3053', 'C1941', 'C1313', 'C407', 'C19', 'C721']"
2010-12-12 11:37:00,"['C1712', 'C2814', 'C383', 'C1649', 'C1118', 'C675', 'C1314', 'C2170', 'C1927', 'C1987', 'C1991', 'C3384', 'C19', 'C2554', 'C3625', 'C1184', 'C3687', 'C289', 'C966', 'C3290', 'C341', 'C3810', 'C812', 'C839', 'C2093', 'C2603', 'C1968', 'C1012', 'C1346', 'C206', 'C2725', 'C2545', 'C1626', 'C3456', 'C1295', 'C3032', 'C1752']"
2010-12-12 11:44:00,"['C2990', 'C1145', 'C490', 'C3500', 'C3727', 'C2385', 'C1831', 'C1399', 'C1327', 'C2631', 'C3706', 'C1595', 'C1239', 'C3305', 'C503', 'C3574', 'C822', 'C1751', 'C560', 'C2652', 'C2767', 'C170', 'C72', 'C1643', 'C3268', 'C1710', 'C1776', 'C2233', 'C3484', 'C1663', 'C653', 'C3220', 'C2478', 'C522', 'C2864', 'C3689', 'C2300', 'C1874', 'C312', 'C3036', 'C3301', 'C2989', 'C2905', 'C1532', 'C1827', 'C2193', 'C1347', 'C650']"
2010-12-12 11:46:00,"['C1505', 'C293', 'C2341', 'C1953', 'C3376', 'C283', 'C3252', 'C399', 'C3059', 'C969', 'C798', 'C1089', 'C1041', 'C3464', 'C699', 'C219', 'C2997', 'C665', 'C1974', 'C3405', 'C3280', 'C2937']"
2010-12-12 11:49:00,"['C831', 'C1101', 'C3806', 'C1371', 'C1968', 'C2603', 'C1012', 'C15', 'C3533']"
2010-12-12 11:54:00,"['C242', 'C1149', 'C690', 'C721', 'C1228', 'C260', 'C958', 'C2191', 'C3030', 'C1266']"
2010-12-12 12:00:00,"['C1804', 'C1439', 'C69', 'C515', 'C3537', 'C888', 'C815', 'C3537', 'C655', 'C1081', 'C1974', 'C892', 'C370', 'C1541', 'C2666', 'C1920', 'C1589', 'C3562', 'C2066', 'C3025', 'C2835', 'C2638', 'C3451', 'C2305', 'C876', 'C2873', 'C2846', 'C1553', 'C59', 'C2282', 'C3774', 'C1372', 'C1013', 'C1398', 'C2765', 'C832', 'C2765', 'C2743', 'C1723', 'C2771', 'C966', 'C2673', 'C1559', 'C2935', 'C3719', 'C202']"
2010-12-12 12:01:00,"['C3188', 'C1719', 'C1228', 'C2840', 'C2465', 'C279', 'C2990', 'C1990', 'C3091', 'C822', 'C822', 'C1020', 'C748', 'C1200', 'C3372', 'C1297', 'C3072', 'C2993', 'C407', 'C1974', 'C1876', 'C3290', 'C3433', 'C1927', 'C1037', 'C2824', 'C2677', 'C1581', 'C3601', 'C966', 'C3372', 'C2151', 'C1200', 'C2677', 'C272', 'C1625', 'C721']"
2010-12-12 12:08:00,"['C682', 'C2814', 'C2410', 'C2836', 'C1974', 'C3478', 'C2234', 'C966', 'C3106', 'C2489', 'C1984', 'C66', 'C3260', 'C869', 'C1713', 'C2925', 'C1012', 'C2603', 'C1012', 'C3422', 'C904', 'C3361', 'C1773', 'C2047', 'C1149', 'C3667', 'C2843', 'C1888', 'C284']"
2010-12-12 12:18:00,"['C1320', 'C2761', 'C3337', 'C664', 'C1889', 'C2309', 'C1082', 'C1768', 'C398', 'C1953', 'C2903', 'C3376', 'C1638', 'C2074', 'C2074', 'C2993', 'C3148', 'C2520', 'C3314', 'C407', 'C1894', 'C3799', 'C3350', 'C1416']"
