Supplier,Date,Type,Invoice number,Product ID,Description,Quantity,Price,Total Amount
CAMILO ANDRES JARAMILLO GORDILLO,1/14/2022,FC,28266,7.70E+12,TINTE IRIS,12,1716,20592
CAMILO ANDRES JARAMILLO GORDILLO,1/14/2022,FC,28266,5210,CANDELA CON EXTENSOR,25,2286,57150
CAMILO ANDRES JARAMILLO GORDILLO,1/14/2022,FC,28266,7.45E+12,SUPER GLUE *10G,12,575,6900
CAMILO ANDRES JARAMILLO GORDILLO,1/14/2022,FC,28266,6.98E+12,CINTA NEGRA AISLANTE,10,886,8860
CAMILO ANDRES JARAMILLO GORDILLO,1/14/2022,FC,28266,6.95E+12,PEGANTE SMATPEGA *5GR,12,263,3156
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,985,PEINETA PEQUEÑA,12,98,1176
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,909,PEINETA SACA PIOJOS,12,280,3360
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,419,VELA VOLCAN,12,801,9612
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,669,PEINETA MACHETE,12,462,5544
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,8.80E+12,MAQUINA DE AFEITAR DORCO NEGRA,24,371,8904
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,322,CINTA TRANSPARENTE ANCHA 25MTS,12,1875,22500
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,7.45E+12,SUPER GLUE *10G,24,575,13800
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,7.70E+12,TINTE IRIS,12,1716,20592
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,6.95E+12,PEGANTE SMATPEGA *5GR,12,263,3156
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,7.71E+12,CINTA DE ENMASCARAR 18X20,12,1555,18660
CAMILO ANDRES JARAMILLO GORDILLO,1/28/2022,FC,29552,3577,PEINETA COLA DE RATON,12,717,8604
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,783,9396
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,8.80E+12,MAQUINA DE AFEITAR DORCO NEGRA,24,371,8904
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,7.45E+12,SUPER GLUE *10G,12,604,7248
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,8.44E+12,GUANTE DE NITRILO,12,2240,26880
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,6.95E+12,PEGANTE SMATPEGA *5GR,12,263,3156
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,8.70E+12,GUANTES,12,1600,19200
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,6.95E+12,CEPILLO TORNADO PLUS,12,929,11148
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,7458,CAUCHOS GOMELOS GRUESO,12,462,5544
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,298,CEPILLO DE EMBETUNAR,5,2017,10085
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,149,COLADOR DE CAFE TALEGA ECONOMICO,12,1201,14412
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,7459,CAUCHOS GOMELOS DELGADOS,6,182,1092
CAMILO ANDRES JARAMILLO GORDILLO,2/10/2022,FC,30854,299,CEPILLO DE EMBOLAR PEQUEÑO,5,1450,7250
CAMILO ANDRES JARAMILLO GORDILLO,3/10/2022,FC,33211,446,LIBRETA ARGOLLADA,12,1063,12756
CAMILO ANDRES JARAMILLO GORDILLO,3/10/2022,FC,33211,6.93E+12,CALCULADORA KADIO GRANDE,1,9070,9070
CAMILO ANDRES JARAMILLO GORDILLO,3/10/2022,FC,33211,8.44E+12,GUANTES DE NITRILO,12,2666,31992
CAMILO ANDRES JARAMILLO GORDILLO,3/10/2022,FC,33211,8.70E+12,GUANTES,12,1600,19200
CAMILO ANDRES JARAMILLO GORDILLO,3/10/2022,FC,33211,1068,CEPILLO DE ROPA PLANO,12,1621,19452
CAMILO ANDRES JARAMILLO GORDILLO,3/17/2022,FC,34062,3.26E+12,BOMBILLO LUCERO LIGHTING AMARILLO,30,1390,41700
CAMILO ANDRES JARAMILLO GORDILLO,3/24/2022,FC,34416,FX6061,VELA VOLCAN*4UND,3,4261,12783
CAMILO ANDRES JARAMILLO GORDILLO,3/24/2022,FC,34416,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,810,9720
CAMILO ANDRES JARAMILLO GORDILLO,3/24/2022,FC,34416,6.96E+12,SUPER GLUE ROJO SAM *10GRS,24,438,10512
CAMILO ANDRES JARAMILLO GORDILLO,3/24/2022,FC,34416,298,CEPILLO DE EMBETUNAR,12,2017,24204
CAMILO ANDRES JARAMILLO GORDILLO,3/24/2022,FC,34416,4.72E+12,PEGANTE CHEMER SUPER GLUE ROJO,24,301,7224
CAMILO ANDRES JARAMILLO GORDILLO,3/24/2022,FC,34416,299,CEPILLO DE EMBOLAR PEQUEÑO,12,1450,17400
CAMILO ANDRES JARAMILLO GORDILLO,4/7/2022,FC,35763,7.70E+12,TINTE IRIS,12,1807,21684
CAMILO ANDRES JARAMILLO GORDILLO,4/7/2022,FC,35763,8.44E+12,GUANTES DE NITRILO,12,2666,31992
